name,company,city,address,latitude,longitude
Assurances Chraïbi Et Cie,AXA,Rabat,"Av. Abou Faris Al Marini, Rabat 10000, Morocco",34.0165467,-6.8328837
ASSURANCE AARAM AXA,AXA,Rabat,"89-91 Av. de la Résistance, Rabat, Morocco",34.0185282,-6.8503561
Assurance Les Deux Rives AXA,AXA,Rabat,"269P+9QH, Av. Moulay Rachid, El Jadida, Morocco",34.0184487,-6.7630009
ASSURANCE RIZQ,AXA,Rabat,"LOT ABOU BAKER NAJJARE TABRIQUET, 25WV+9X8، Avenue Mohamed V، Salé, Morocco",34.0459011,-6.8050577
AXA ASSURANCE TAMESNA,AXA,Rabat,"R3PF+4PJ, Av. Abdellah Ben Yassine, Tamesna, Morocco",33.8353434,-6.9257432
Assurance al akhawayn,AXA,Rabat,"3633+9W3, Av. Mohamed V, Salé, Morocco",34.0533878,-6.7951968
Axa credit Rabat,AXA,Rabat,"21 Av. Oqba Ibn Naafi, Rabat 10000, Morocco",34.0095105,-6.8437746
Secassure,AXA,Rabat,"Rue, Harou, X4VX+VJC, Avenue Moulay Rachid, Rabat 10080, Morocco",33.9946975,-6.8509771
Lynx Assurance,AXA,Rabat,"Immeuble 13, Avenue El Haj Hassan, Rabat 10000, Morocco",34.0099825,-6.8574256
AXA Crédit Temara,AXA,Rabat,"mag5-6, résidence Attawhid, n°22 Av. Hassan II, Témara 12010, Morocco",33.9109645,-6.9324246
ARABIA ASSURANCE,AXA,Rabat,"18 IMM, MAGASIN, 14 Avenue Bin Al Ouidane، Rabat 10000, Morocco",34.0063598,-6.850239
Touzini Assurances,AXA,Rabat,"Avenue Moulay Ismail Magasin N° 2, Rabat 10020, Morocco",34.0218638,-6.828036
Rapide assurance,AXA,Rabat,"Hay al maghreb al arabi, Massira 2, Avenue Tarik ibn ziad, Rond point MILANO, Témara 12030, Morocco",33.9259477,-6.8941297
Assurances Zbirat,AXA,Rabat,"Avenue Lalla Asmae, Rce azzahra app N°3 Tabriquet, Salé, Morocco",34.0402075,-6.806501
Carrefour Assurance Et Conseil,AXA,Rabat,"45 Av. Al Araar, Rabat, Morocco",33.9557037,-6.8760802
ASSURANCES TALBI AGENT GENERAL ATLANTASANAD,AXA,Rabat,"1626,M2, Av. Al Majd, Rabat 10150, Morocco",33.9679988,-6.8911039
Ste Transassur,AXA,Rabat,"6 Rue Soussa, Rabat 10000, Morocco",34.0177499,-6.8326884
ROUGANI ASSUR ET CONSEIL,AXA,Rabat,"apprt 2, 34 Rue Oued Ziz, Rabat 10090, Morocco",34.0031319,-6.8471242
Digital Factory 98 (MAMDA-MCMA),MAMDA,Rabat,"X5V3+G6M, Rabat, Morocco",33.9938135,-6.8469826
"Résidence CHADIA, Centre D'estivage Mamda-mcma Skhirat",MAMDA,Rabat,"VW8M+GVG, Skhirat, Morocco",33.8663134,-7.065296
Matu Assurance,MATU,Rabat,"Boulevard El Kifah bloc A n° 18 El Kamra, Rabat, Morocco",33.9916591,-6.8669204
Matu Assurance,MATU,Rabat,"HAY AL MASSIRA N° 632, Témara, Morocco",33.926992,-6.896342
MATU Assurance Temara,MATU,Rabat,"Av. Mohammed V, Témara, Morocco",33.9188215,-6.9183627
Matu Assurance,MATU,Rabat,"N° 10 RUE AHMED AL HAFYANI KHATAT, SECTEUR BADR, Salé, Morocco",34.057611,-6.778083
Matu Assurance,MATU,Rabat,"N° 4, avenue Hassan II, N°5, Imm Bab Khmiss, Bloc B Magasin, Salé, Morocco",34.0345246,-6.8014724
Matu Assurance,MATU,Rabat,"GROUPE 7 N° 7 YOUSSOUFIA OCCIDENTAL, Rabat, Morocco",33.9932193,-6.8176383
Matu Assurance,MATU,Rabat,"BD MLY RACHID N° 15 SECTEUR 4, Rue Karia, Salé, Morocco",34.0190235,-6.7626231
Matu Assurance,MATU,Rabat,"N° 380, 5 Bd Hassan II, Salé, Morocco",34.0276604,-6.7667578
Matu Assurance,MATU,Rabat,"368,AV MED V Rue Salaheddine, 2 ème Etage IMM JEDDA ,APPT N° 5, Kénitra, Morocco",34.259306,-6.585278
Matu Assurance,MATU,Rabat,"ANGLE AVENUE MOHAMED V ET RUE N° 174 LOT 1459 BAB FES, Kénitra, Morocco",34.2698934,-6.5603901
Bureau regional matu kenitra 3,MATU,Rabat,"6FR2+8MM, Kenitra, Morocco",34.240839,-6.5483242
Matu Assurance,MATU,Rabat,"BD AL MASSIRA AL IRCHAD N° 1, HAY SAKNIA, Kénitra, Morocco",34.241012,-6.5483202
Matu Assurance,MATU,Rabat,"Bd Mohamed V, Tiflet, Morocco",33.892694,-6.317861
RMA WATANYA BENKIRANE HICHAM,RMA,Rabat,"Avenue Hassan II Secteur ML N°4, Batiment N°20، à côté de la grande mosquée et WAFACASH، Sala Al Jadida - Maroc، Sala Al Jadida 11100, Morocco",33.9976181,-6.7392504
ASSURANCES RMA WATANYA,RMA,Rabat,"X4RG+54P, Rabat, Morocco",33.9904562,-6.874668
RMA Assurance,RMA,Rabat,"1423 Av. Tarik Ibn Ziad, Témara, Morocco",33.9219916,-6.8983513
RMA Assurance,RMA,Rabat,"25WR+8P4, Salé, Morocco",34.0457675,-6.8081735
RMA Assurance,RMA,Rabat,"X4F4+XRF, Av. Al Menzeh, Rabat, Morocco",33.9749279,-6.892959
RMA Services Rabat,RMA,Rabat,"20 Av. Al Fadila, Rabat, Morocco",33.9830778,-6.8737775
RMA Watanya,RMA,Rabat,"W4Q2+Q6X, Temara, Morocco",33.9394763,-6.8994018
RMA ASSURANCE CABINET BENKIRANE ASSUR RABAT,RMA,Rabat,"Yacoub El Mansour, Rabat, Morocco",33.9904554,-6.8746743
Assurance RMA الملكية الوطنية للتأمين,RMA,Rabat,"1538 Av. du 20 Août, Salé, Morocco",34.0408586,-6.7802036
RMA BGD SKHIRAT,RMA,Rabat,"VX38+WVJ, Skhirat, Morocco",33.8548375,-7.0328594
RMA Conecte Assurance,RMA,Rabat,"Rte de Rabat, Salé, Morocco",34.0553937,-6.8077521
RMA CONECTE ASSURANCE,RMA,Rabat,"N°3, saniat belamine, route de kenitra, K.M, 2 Rte de Rabat, Salé, Morocco",34.1401405,-6.7253321
RMA,RMA,Rabat,"36F7+J38, Av. Driss Ben Bouchaib Al Hrizi, Salé, Morocco",34.074047,-6.7873092
RMA Assurance,RMA,Rabat,"Boulevard Al Forkane, W3C8+663, lotissement Al Wifak, Témara, Morocco",33.9205146,-6.9344652
RMA Assuris,RMA,Rabat,"Ex Nahda, 21 Av. Ahmed Reda Gdira, Rabat 10000, Morocco",33.9767201,-6.8181558
RMA (BGD),RMA,Rabat,"app 2, 3 Rue Chaouia, Rabat, Morocco",33.9940422,-6.8228299
RMA,RMA,Rabat,"hay rahma, Salé, Morocco",34.0643259,-6.7667144
RMA Assurance,RMA,Rabat,"R625+77Q, Aïn El Aouda, Morocco",33.8007035,-6.7917757
RMA BGD BETTANA,RMA,Rabat,"25MX+P2W, N6, Salé, Morocco",34.0343519,-6.8024329
Rma Watanya Agents Et Courtiers,RMA,Rabat,"2 Rue Hassane Ben Tabit Quartier Centre Ville, Kenitra, Kénitra 14000, Morocco",34.258558,-6.583937
RMA Assurances,RMA,Rabat,"QRQP+585, N1, Bouznika, Morocco",33.7878665,-7.1641355
